source,line,function,ncalls,tottime,cumtime,run,backend
solution_clean_qiskit.py,81,loss_func,200,0.0234201,151.3128562,4,Fran
solution_clean_qiskit.py,81,loss_func,200,0.0232961,150.8785972,5,Fran
solution_clean_qiskit.py,81,loss_func,200,0.0235818,150.21693860000002,3,Fran
solution_clean_qiskit.py,110,loss_only,100,0.0002354,98.7067539,2,Fran
solution_clean_qiskit.py,47,ansatz,12928,3.5743349,84.9617941,2,Fran
solution_clean_qiskit.py,110,loss_only,100,0.0001975,75.10816220000001,4,Fran
solution_clean_qiskit.py,110,loss_only,100,0.0002156,74.7557993,5,Fran
solution_clean_qiskit.py,110,loss_only,100,0.0002128,73.8183652,3,Fran
solution_clean_qiskit.py,47,ansatz,12928,2.6503406000000003,67.3302084,4,Fran
solution_clean_qiskit.py,47,ansatz,12928,2.5934213,65.889584,5,Fran
solution_clean_qiskit.py,47,ansatz,12928,2.5245443,64.9443731,3,Fran
solution_clean_pennylane.py,11,__init__,1,5.2100000000000006e-05,9.074985,3,Fran
solution_clean_pennylane.py,11,__init__,1,4.7600000000000005e-05,8.9792558,1,Fran
solution_clean_pennylane.py,11,__init__,1,3.23e-05,8.277647100000001,5,Fran
solution_clean_pennylane.py,11,__init__,1,4.14e-05,8.243860100000001,2,Fran
solution_clean_pennylane.py,11,__init__,1,3.32e-05,8.1792016,4,Fran
solution_clean_pennylane.py,132,loss_plot,1,0.0001009,2.4153781000000003,1,Fran
